unit,hhtyp,indic_il,geo\time	2022 	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 
EUR,A1_DCH,MED_E,MK	: 	: 	1691 	1517 	1778 	1625 	1353 	1457 	1461 	1680 	1169 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,A1_DCH,MED_E,MT	10450 b	8584 	7031 	7212 	7724 	7639 	6890 	4506 	2877 	2636 	1600 	1517 	1065 	1406 	1754 	1758 	1111 	3506 	: 	: 
EUR,A1_DCH,MED_E,NL	16650 b	14257 	12790 	12656 	11646 	10943 	11083 b	10380 	12778 	12121 	9587 	10178 	9827 	9035 	9879 	7955 	5220 	5255 	: 	: 
EUR,A1_DCH,MED_E,NO	21945 	19715 b	21115 	21679 	22182 	21558 	20992 	22691 	24927 	22089 	21392 	19032 	17595 	17932 	16865 	13080 	16526 	12269 	15152 	16387 
EUR,A1_DCH,MED_E,PL	5519 b	5188 	4531 	4138 	3385 	3418 	3496 	3824 	3482 	3426 	3450 	3116 	2701 	3203 	2463 	1848 	1652 	1086 	: 	: 
EUR,A1_DCH,MED_E,PT	7916 b	7720 b	7883 	6550 	6428 	5912 	5695 	5389 	4823 	5655 	5468 	6069 	5403 	5024 	4987 	4988 	4436 	5344 	3989 	: 
EUR,A1_DCH,MED_E,RO	3642 b	3362 	2985 	2364 	1815 	1750 	1301 	1413 	1532 	1197 	1246 	1223 	1288 	1385 	1043 	798 	: 	: 	: 	: 
EUR,A1_DCH,MED_E,RS	: 	2528 	2885 	2029 	2060 	2024 	1325 	1478 	1473 	1436 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,A1_DCH,MED_E,SE	16752 	15365 	14594 	14473 	14791 	14834 	14236 	14573 	14783 	14237 	13504 	12032 	10072 	12073 	11481 b	9975 	8897 	9589 	8550 	: 
EUR,A1_DCH,MED_E,SI	12283 b	10736 	10296 	9109 	8043 	8071 	8178 	7518 	7684 	7115 	8406 	7114 	6594 	6889 	6225 	6002 	5924 	5056 	: 	: 
EUR,A1_DCH,MED_E,SK	4783 b	5416 	5566 	4972 	5345 	4225 	4425 	4477 	4414 	4547 	4673 	4318 	4071 	3817 	3461 	2466 	1982 	1701 	: 	: 
EUR,A1_DCH,MED_E,TR	: 	1785 	1992 	2172 	2427 	2731 	2415 	2382 	2029 	2159 	1724 	1743 	1449 	1798 	1866 	1704 	1147 	: 	: 	: 
EUR,A1_DCH,MED_E,UK	: 	: 	: 	: 	5442 	4084 b	4386 	3585 	3499 	2169 	2010 b	2881 	2634 	2870 	2787 	4594 	3390 	3164 	: 	: 
EUR,A1_DCH,MED_E,XK	: 	: 	: 	: 	387 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
