A1,MED_E,EUR,FR	20146 b	19562 	19651 b	20286 	20612 	20543 	20180 	19662 	19484 	19285 	18703 	18271 	17765 	17989 	17283 	14814 	14398 	14272 	13649 b	: 	13105 	12834 	12159 	12145 	11952 	11401 	11136 
A1,MED_E,EUR,HR	5415 	5046 	5015 	4799 	4341 	3982 	4045 	3930 	3959 	3909 	3920 	3951 	4087 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,EUR,HU	5606 	5453 	5163 	4755 	4590 	4383 	4265 	4122 	4132 	4020 	4052 	3948 	3809 	4200 	3868 	3406 	3282 	3060 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,EUR,IE	20459 	19976 	19942 b	18439 	16807 	15821 	14713 	14562 	14930 	14155 	14498 	14919 	14823 	15304 	15466 	14182 	12508 	11679 	10447 	9653 b	7239 	6598 	6763 	6310 	5828 	5295 	5224 
A1,MED_E,EUR,IS	: 	: 	: 	: 	32513 	26955 	22472 	18962 	17455 	16682 	15716 	14684 	14246 	17177 	25434 	23280 	24199 	17948 	16924 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,EUR,IT	17392 	16861 	16519 	16375 	16322 	15958 	15828 	15434 	15360 	14898 	15140 	14786 	14582 	14000 	13678 	13321 	12814 	12512 	12121 b	: 	9379 	9374 	9070 	8544 	7938 	7323 	7467 
A1,MED_E,EUR,LT	6901 	6281 	5451 	4814 	4116 	3793 	3680 	3438 	3387 	3431 	3102 	2951 	3077 	2989 	2570 	1981 	1666 	1460 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,EUR,LU	44482 b	44547 b	38551 b	35978 	34198 	34992 	33260 b	33746 	36410 	35518 	33987 	31635 	32328 	32744 	31699 	30187 	29342 	29605 	29183 	26874 b	23996 	22930 	21590 	21651 	21512 	21789 	19165 
A1,MED_E,EUR,LV	6443 	5338 	5376 	4670 	4174 	3675 	3541 	3465 	3343 	3166 	3089 	3139 	3045 	2739 	2284 	1842 	1423 	1335 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,EUR,ME	4520 	4000 	4068 	3960 	3766 	3480 	3365 	3060 	3113 	3216 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,EUR,MK	: 	: 	2775 	2515 	2326 	2324 	2107 	1942 	1931 	1750 	1656 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,EUR,MT	13326 	13036 	12403 	11572 	11567 	11237 	10707 	10438 	9927 	9641 	8970 	8706 	8198 	7973 	7294 	7113 	7117 	6386 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,EUR,NL	21330 	20354 	20604 	19788 	19235 	18697 	18436 b	17796 	17489 	17429 	17401 	17465 	17429 	17140 	16826 	15787 	15092 	15613 b	: 	: 	13330 	13012 	12423 	11587 	11370 	10537 	10128 
A1,MED_E,EUR,NO	31876 	28905 b	31396 	31099 	30731 	30755 	31535 	33182 	34193 	34433 	32589 	29187 	25886 	27431 	25123 	23798 	22255 	20350 	20941 	21204 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,EUR,PL	6820 	6133 	5858 	5315 	5074 	4790 	4827 	4687 	4669 	4433 	4299 	4156 	3655 	4250 	3637 	3244 	2962 	2387 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,EUR,PT	10360 	9800 b	9260 	8400 	7840 	7655 	7250 	7200 	7067 	7040 	7290 	7000 	6804 	6622 	6216 	5499 	5056 	4900 	4900 b	: 	4170 	3763 	3471 	3179 	3157 	2912 	2688 
A1,MED_E,EUR,RO	4773 	3600 	3141 	3073 	2708 	2349 	2077 	1951 	1909 	1829 	1870 	1864 	1734 	1821 	1571 	1183 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,EUR,RS	: 	3077 	2885 	2638 	2275 	2096 	1988 	2046 	2130 	2143 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,EUR,SE	21640 	19917 	19004 	18802 	18963 	18781 	18372 	18208 	19339 	18708 	17272 	16012 	14042 	15250 	14970 b	14713 	14552 	14356 	13364 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,EUR,SI	11586 	10922 	10180 	9767 	9057 	9140 	8925 	8941 	8955 	8641 	8568 	8314 	8185 	7765 	7256 	6876 	6123 	5833 	: 	: 	: 	: 	: 	: 	: 	: 	: 
